entity_id,canonical_name,name_zh,entity_type,aliases_en,aliases_zh,wikidata_id,wikidata_desc,github_org,huggingface_org,official_domain,ambiguity,source,contract_entity_type,identity_status,approved_aliases,wikidata_verified_this_review
,GSM8K,GSM8K,benchmark,,,Q121360456,grade school math question-answering dataset,,,,false,curated,,needs_review,,false
,LMArena,LMArena,benchmark,,,Q130370820,website that allows you to test various large language models,,,lmarena.ai,true,FOFA点3,,needs_review,,false
,MMLU,MMLU,benchmark,MMLU,,Q123721276,language understanding across multiple domains,,,,false,curated,,needs_review,,false
,Hugging Face Transformers,Transformers,framework,Huggingface Transformers|Huggingface Transformers Library|Hugging Face Transformers,,Q107382298,Python library from Hugging Face containing Transformers,huggingface/transformers,transformers,,false,curated,technology,candidate_unverified,,false
,LangGraph,LangGraph,framework,,,Q132393291,Python library,langchain-ai/langgraph,,,false,curated,technology,candidate_unverified,,false
,LlamaIndex,LlamaIndex,framework,,,Q125446413,large language model company,run-llama/llama_index,,llamaindex.ai,false,curated,technology,needs_review,,false
,ONNX,ONNX,framework,Open Neural Network Exchange|Toffee|onnx,,Q55080116,Open Neural Network Exchange,onnx,,onnx.ai,false,curated,technology,candidate_unverified,,false
,PyTorch,PyTorch,framework,torch,,Q47509047,"open source machine learning library for Python, based on Torch",pytorch,pytorch,pytorch.org,false,curated,technology,candidate_unverified,,false
,TensorFlow,TensorFlow,framework,,张量流,Q21447895,machine learning software framework,tensorflow,,tensorflow.org,false,curated,technology,candidate_unverified,,false
,TensorRT,TensorRT,framework,,,Q139964666,nvidia software development kit for deep learning inference,NVIDIA/TensorRT,,,false,curated,technology,candidate_unverified,,false
,vLLM,vLLM,framework,,,Q132956646,Python library,vllm-project,,,false,curated,technology,candidate_unverified,,false
,DeepSeek-R1,DeepSeek-R1,model,DeepSeek R1|DeepThink (R1),深度思考 (R1),Q131914874,large language model,deepseek-ai,deepseek-ai,,false,spec案例,model,candidate_unverified,,false
,Mistral 7B,Mistral 7B,model,,,Q126093447,large language model developed by Mistral AI,,mistralai,,false,curated,model,candidate_unverified,,false
,GPT-4,GPT-4,model_family,,,Q116709136,OpenAI multimodal large language model,openai,openai,,false,curated,model,candidate_unverified,,false
,Grok,Grok,model_family,Grok chatbot|Grok 3,Grok机器人,Q123361035,chatbot developed by SpaceXAI,,,,true,curated,model,needs_review,,false
