monitor_id,entity,official_domain,monitor_url,page_type,change_detection,polling_hint,verified_status,notes,adoption_status
P-MON-01,DeepSeek,deepseek.com,https://www.deepseek.com/,home_banner,content_hash+diff,high,verified,"首页条幅/公告;无RSS,第一手信号",requires_page_review
P-MON-02,DeepSeek,deepseek.com,https://api-docs.deepseek.com/news/,news_changelog,content_hash+diff,high,verified,官方News页;可见 news250126 等条目,requires_page_review
P-MON-03,智谱AI,zhipuai.cn,https://www.zhipuai.cn/,home_banner,content_hash+diff,medium,verified,首页公告,requires_page_review
P-MON-04,月之暗面(Kimi),moonshot.cn,https://platform.moonshot.cn/,platform_announcement,content_hash+diff,medium,verified,Kimi API开放平台公告,requires_page_review
P-MON-05,通义/阿里云,tongyi.aliyun.com,https://tongyi.aliyun.com/,home_banner,content_hash+diff,medium,verified,另有官方RSS S014,requires_page_review
P-MON-06,腾讯混元,hunyuan.tencent.com,https://hunyuan.tencent.com/,home_banner,content_hash+diff,medium,verified,首页公告,requires_page_review
P-MON-07,MiniMax/minimaxi,minimaxi.com,https://platform.minimaxi.com/document/Announcement,announcement_doc,content_hash+diff,medium,verified,官方平台公告文档页(实测200);平台概览 platform.minimaxi.com,requires_page_review
P-MON-08,阶跃StepFun,stepfun.com,https://www.stepfun.com/,home_banner,content_hash+diff,medium,verified,"官网(实测200);platform/news 404,建议关注 model页",requires_page_review
P-MON-09,百度文心,yiyan.baidu.com,https://yiyan.baidu.com/,home_banner,content_hash+diff,medium,verified,文心助手官网(实测200);developer 同源,requires_page_review
P-MON-10,字节豆包Seed,doubao.com,https://www.doubao.com/,home_banner,content_hash+diff,medium,verified,豆包官网(实测200);火山方舟 docs 82379 可达,requires_page_review
